时间,实测流速,实测流向
16/08/2013 10:00,0.55 ,125 
16/08/2013 10:10,0.66 ,157 
16/08/2013 10:20,0.68 ,134 
16/08/2013 10:30,0.52 ,138 
16/08/2013 10:40,0.54 ,133 
16/08/2013 10:50,0.50 ,173 
16/08/2013 11:00,0.54 ,157 
16/08/2013 11:10,0.40 ,142 
16/08/2013 11:20,0.36 ,139 
16/08/2013 11:30,0.37 ,171 
16/08/2013 11:40,0.31 ,143 
16/08/2013 11:50,0.42 ,125 
16/08/2013 12:00,0.22 ,135 
16/08/2013 12:10,0.20 ,180 
16/08/2013 12:20,0.19 ,120 
16/08/2013 12:30,0.07 ,356 
16/08/2013 12:40,0.16 ,348 
16/08/2013 12:50,0.05 ,13 
16/08/2013 13:00,0.16 ,195 
16/08/2013 13:10,0.15 ,8 
16/08/2013 13:20,0.34 ,311 
16/08/2013 13:30,0.15 ,291 
16/08/2013 13:40,0.30 ,295 
16/08/2013 13:50,0.36 ,302 
16/08/2013 14:00,0.37 ,318 
16/08/2013 14:10,0.31 ,320 
16/08/2013 14:20,0.44 ,311 
16/08/2013 14:30,0.51 ,286 
16/08/2013 14:40,0.60 ,307 
16/08/2013 14:50,0.47 ,285 
16/08/2013 15:00,0.67 ,319 
16/08/2013 15:10,0.52 ,311 
16/08/2013 15:20,0.66 ,321 
16/08/2013 15:30,0.51 ,315 
16/08/2013 15:40,0.51 ,339 
16/08/2013 15:50,0.43 ,304 
16/08/2013 16:00,0.48 ,325 
16/08/2013 16:10,0.56 ,340 
16/08/2013 16:20,0.43 ,293 
16/08/2013 16:30,0.46 ,295 
16/08/2013 16:40,0.45 ,296 
16/08/2013 16:50,0.48 ,331 
16/08/2013 17:00,0.56 ,317 
16/08/2013 17:10,0.47 ,331 
16/08/2013 17:20,0.37 ,313 
16/08/2013 17:30,0.41 ,334 
16/08/2013 17:40,0.37 ,327 
16/08/2013 17:50,0.40 ,332 
16/08/2013 18:00,0.40 ,358 
16/08/2013 18:10,0.42 ,340 
16/08/2013 18:20,0.27 ,338 
16/08/2013 18:30,0.27 ,332 
16/08/2013 18:40,0.32 ,345 
16/08/2013 18:50,0.27 ,339 
16/08/2013 19:00,0.23 ,350 
16/08/2013 19:10,0.13 ,303 
16/08/2013 19:20,0.11 ,190 
16/08/2013 19:30,0.05 ,175 
16/08/2013 19:40,0.18 ,108 
16/08/2013 19:50,0.15 ,151 
16/08/2013 20:00,0.23 ,107 
16/08/2013 20:10,0.33 ,144 
16/08/2013 20:20,0.59 ,139 
16/08/2013 20:30,0.44 ,145 
16/08/2013 20:40,0.45 ,147 
16/08/2013 20:50,0.42 ,134 
16/08/2013 21:00,0.59 ,129 
16/08/2013 21:10,0.48 ,134 
16/08/2013 21:20,0.56 ,155 
16/08/2013 21:30,0.61 ,159 
16/08/2013 21:40,0.62 ,151 
16/08/2013 21:50,0.39 ,135 
16/08/2013 22:00,0.55 ,114 
16/08/2013 22:10,0.63 ,135 
16/08/2013 22:20,0.57 ,134 
16/08/2013 22:30,0.52 ,140 
16/08/2013 22:40,0.71 ,124 
16/08/2013 22:50,0.70 ,110 
16/08/2013 23:00,0.58 ,136 
16/08/2013 23:10,0.51 ,134 
16/08/2013 23:20,0.46 ,150 
16/08/2013 23:30,0.47 ,155 
16/08/2013 23:40,0.58 ,118 
16/08/2013 23:50,0.40 ,126 
17/08/2013 00:00,0.42 ,120 
17/08/2013 00:10,0.32 ,130 
17/08/2013 00:20,0.27 ,137 
17/08/2013 00:30,0.45 ,139 
17/08/2013 00:40,0.20 ,134 
17/08/2013 00:50,0.20 ,167 
17/08/2013 01:00,0.33 ,128 
17/08/2013 01:10,0.08 ,9 
17/08/2013 01:20,0.23 ,120 
17/08/2013 01:30,0.05 ,358 
17/08/2013 01:40,0.08 ,336 
17/08/2013 01:50,0.05 ,19 
17/08/2013 02:00,0.11 ,329 
17/08/2013 02:10,0.11 ,302 
17/08/2013 02:20,0.22 ,6 
17/08/2013 02:30,0.21 ,342 
17/08/2013 02:40,0.31 ,329 
17/08/2013 02:50,0.45 ,300 
17/08/2013 03:00,0.50 ,321 
17/08/2013 03:10,0.49 ,320 
