B5,A5,
0,0,13/08/2013 00:00
-0.690275373,-0.496375503,13/08/2013 00:30
-0.875326133,-0.901069578,13/08/2013 01:00
-0.620659742,-0.854733691,13/08/2013 01:30
-0.232930718,-0.505342935,13/08/2013 02:00
0.156648817,-0.067573174,13/08/2013 02:30
0.506077266,0.324198706,13/08/2013 03:00
0.796931124,0.631714054,13/08/2013 03:30
1.021324888,0.865185426,13/08/2013 04:00
1.175044755,1.038844943,13/08/2013 04:30
1.253569398,1.152635786,13/08/2013 05:00
1.252931267,1.196605096,13/08/2013 05:30
1.17239687,1.16073278,13/08/2013 06:00
1.016162714,1.041361436,13/08/2013 06:30
0.792907645,0.843299106,13/08/2013 07:00
0.515779604,0.591364458,13/08/2013 07:30
0.20815857,0.320470587,13/08/2013 08:00
-0.106018772,0.047775661,13/08/2013 08:30
-0.406351874,-0.217237371,13/08/2013 09:00
-0.674525958,-0.466946316,13/08/2013 09:30
-0.893292296,-0.690942812,13/08/2013 10:00
-1.047837577,-0.875313817,13/08/2013 10:30
-1.127538754,-1.004523041,13/08/2013 11:00
-1.126976395,-1.063970494,13/08/2013 11:30
-1.046514236,-1.042550911,13/08/2013 12:00
-0.892694463,-0.935262318,13/08/2013 12:30
-0.677614614,-0.745972009,13/08/2013 13:00
-0.417037732,-0.502137112,13/08/2013 13:30
-0.132258383,-0.233057571,13/08/2013 14:00
0.159197674,0.044826329,13/08/2013 14:30
0.441728883,0.3176081,13/08/2013 15:00
0.699585528,0.57216396,13/08/2013 15:30
0.916929402,0.795631264,13/08/2013 16:00
1.079361215,0.97611055,13/08/2013 16:30
1.175488362,1.102092303,13/08/2013 17:00
1.197933742,1.162973376,13/08/2013 17:30
1.143960993,1.150419317,13/08/2013 18:00
1.01568667,1.05993862,13/08/2013 18:30
0.819620634,0.892638112,13/08/2013 19:00
0.565434538,0.660829644,13/08/2013 19:30
0.268417658,0.396443754,13/08/2013 20:00
-0.049873595,0.120348022,13/08/2013 20:30
-0.36821681,-0.156619514,13/08/2013 21:00
-0.667755701,-0.426550069,13/08/2013 21:30
-0.93095226,-0.681180977,13/08/2013 22:00
-1.141918405,-0.90861684,13/08/2013 22:30
-1.287693776,-1.093956285,13/08/2013 23:00
-1.359304922,-1.2220711,13/08/2013 23:30
-1.35248632,-1.279955832,14/08/2013 00:00
-1.268234621,-1.258493498,14/08/2013 00:30
-1.113136362,-1.154094405,14/08/2013 01:00
-0.898790823,-0.970241728,14/08/2013 01:30
-0.639877339,-0.728807035,14/08/2013 02:00
-0.356109032,-0.461411671,14/08/2013 02:30
-0.064308103,-0.184283261,14/08/2013 03:00
0.220879551,0.089125712,14/08/2013 03:30
0.485213849,0.346842697,14/08/2013 04:00
0.71462265,0.57735818,14/08/2013 04:30
0.896301201,0.770468252,14/08/2013 05:00
1.020050964,0.916380275,14/08/2013 05:30
1.079149181,1.00564635,14/08/2013 06:00
1.070915822,1.031186946,14/08/2013 06:30
0.99695854,0.989663399,14/08/2013 07:00
0.862965575,0.882343813,14/08/2013 07:30
0.677765329,0.715442929,14/08/2013 08:00
0.453119278,0.506369714,14/08/2013 08:30
0.207106569,0.281715285,14/08/2013 09:00
-0.041558546,0.057194509,14/08/2013 09:30
-0.276276577,-0.157595172,14/08/2013 10:00
-0.482539316,-0.354696198,14/08/2013 10:30
-0.647334954,-0.525975219,14/08/2013 11:00
-0.759832483,-0.661015149,14/08/2013 11:30
-0.812641965,-0.748341463,14/08/2013 12:00
-0.802636384,-0.778023355,14/08/2013 12:30
-0.731256196,-0.743829403,14/08/2013 13:00
-0.604499533,-0.644795654,14/08/2013 13:30
-0.432497144,-0.486643947,14/08/2013 14:00
-0.228088475,-0.289243346,14/08/2013 14:30
-0.007666818,-0.073651257,14/08/2013 15:00
0.214585784,0.146625226,14/08/2013 15:30
0.426081174,0.359569038,14/08/2013 16:00
0.614671616,0.55472949,14/08/2013 16:30
0.768555,0.721469312,14/08/2013 17:00
0.877141973,0.849343777,14/08/2013 17:30
0.932266544,0.929174016,14/08/2013 18:00
0.92902065,0.953406281,14/08/2013 18:30
0.866093217,0.917104065,14/08/2013 19:00
0.745828797,0.819068664,14/08/2013 19:30
0.574044709,0.662368431,14/08/2013 20:00
0.35945901,0.459370519,14/08/2013 20:30
0.113664313,0.231787734,14/08/2013 21:00
-0.148005822,-0.006011401,14/08/2013 21:30
-0.408440449,-0.243760064,14/08/2013 22:00
-0.651932372,-0.473236975,14/08/2013 22:30
-0.864433655,-0.686422408,14/08/2013 23:00
-1.033662392,-0.873331349,14/08/2013 23:30
-1.149763651,-1.022657348,15/08/2013 00:00
-1.205963774,-1.12314112,15/08/2013 00:30
-1.199062648,-1.165182933,15/08/2013 01:00
-1.129791205,-1.142452271,15/08/2013 01:30
-1.002951883,-1.053168358,15/08/2013 02:00
-0.827199125,-0.901033217,15/08/2013 02:30
-0.613856716,-0.699435062,15/08/2013 03:00
-0.377477517,-0.472503302,15/08/2013 03:30
-0.132190673,-0.234520113,15/08/2013 04:00
0.109903264,0.002337273,15/08/2013 04:30
0.337464539,0.227809286,15/08/2013 05:00
0.539598238,0.43267032,15/08/2013 05:30
0.706278669,0.608194026,15/08/2013 06:00
0.829202926,0.746282656,15/08/2013 06:30
0.902548857,0.839623412,15/08/2013 07:00
0.923422848,0.88256188,15/08/2013 07:30
0.892102478,0.872495555,15/08/2013 08:00
0.812021029,0.81036784,15/08/2013 08:30
0.68940621,0.700538019,15/08/2013 09:00
0.532504115,0.550667404,15/08/2013 09:30
0.351751935,0.375416451,15/08/2013 10:00
0.161270016,0.193447948,15/08/2013 10:30
-0.025167678,0.017326796,15/08/2013 11:00
-0.195441832,-0.144619574,15/08/2013 11:30
-0.339287843,-0.285503957,15/08/2013 12:00
-0.448083607,-0.399082699,15/08/2013 12:30
-0.515171825,-0.47860679,15/08/2013 13:00
-0.53659584,-0.517440323,15/08/2013 13:30
-0.511651013,-0.51078471,15/08/2013 14:00
-0.443001173,-0.457038643,15/08/2013 14:30
-0.33651463,-0.358547578,15/08/2013 15:00
-0.200812391,-0.222376439,15/08/2013 15:30
-0.04620398,-0.063360629,15/08/2013 16:00
0.115114827,0.104160305,15/08/2013 16:30
0.272548467,0.269393766,15/08/2013 17:00
0.416685645,0.422664115,15/08/2013 17:30
0.53870727,0.555469719,15/08/2013 18:00
0.630390879,0.65974973,15/08/2013 18:30
0.68463555,0.727926679,15/08/2013 19:00
0.69625077,0.753800609,15/08/2013 19:30
0.662587354,0.733224381,15/08/2013 20:00
0.583828395,0.664476935,15/08/2013 20:30
0.462969022,0.548677131,15/08/2013 21:00
