时间,实测流速,实测流向
16/08/2013 10:00,0.78,156
16/08/2013 10:10,0.71,150
16/08/2013 10:20,0.8,161
16/08/2013 10:30,0.75,168
16/08/2013 10:40,0.78,140
16/08/2013 10:50,0.65,159
16/08/2013 11:00,0.69,153
16/08/2013 11:10,0.75,158
16/08/2013 11:20,0.67,166
16/08/2013 11:30,0.55,158
16/08/2013 11:40,0.5,170
16/08/2013 11:50,0.5,161
16/08/2013 12:00,0.44,155
16/08/2013 12:10,0.28,148
16/08/2013 12:20,0.15,143
16/08/2013 12:30,0.17,184
16/08/2013 12:40,0.21,161
16/08/2013 12:50,0.19,91
16/08/2013 13:00,0.1,59
16/08/2013 13:10,0.1,305
16/08/2013 13:20,0.03,114
16/08/2013 13:30,0.12,285
16/08/2013 13:40,0.24,297
16/08/2013 13:50,0.36,313
16/08/2013 14:00,0.4,348
16/08/2013 14:10,0.4,352
16/08/2013 14:20,0.51,337
16/08/2013 14:30,0.52,339
16/08/2013 14:40,0.52,339
16/08/2013 14:50,0.52,349
16/08/2013 15:00,0.65,342
16/08/2013 15:10,0.75,351
16/08/2013 15:20,0.74,342
16/08/2013 15:30,0.76,340
16/08/2013 15:40,0.76,332
16/08/2013 15:50,0.78,336
16/08/2013 16:00,0.74,342
16/08/2013 16:10,0.77,338
16/08/2013 16:20,0.72,339
16/08/2013 16:30,0.65,339
16/08/2013 16:40,0.73,340
16/08/2013 16:50,0.75,327
16/08/2013 17:00,0.74,341
16/08/2013 17:10,0.68,336
16/08/2013 17:20,0.63,334
16/08/2013 17:30,0.61,344
16/08/2013 17:40,0.58,350
16/08/2013 17:50,0.61,337
16/08/2013 18:00,0.63,331
16/08/2013 18:10,0.58,327
16/08/2013 18:20,0.39,337
16/08/2013 18:30,0.57,329
16/08/2013 18:40,0.4,350
16/08/2013 18:50,0.42,340
16/08/2013 19:00,0.31,328
16/08/2013 19:10,0.27,346
16/08/2013 19:20,0.14,316
16/08/2013 19:30,0.18,253
16/08/2013 19:40,0.09,241
16/08/2013 19:50,0.07,286
16/08/2013 20:00,0.14,196
16/08/2013 20:10,0.27,201
16/08/2013 20:20,0.06,90
16/08/2013 20:30,0.2,200
16/08/2013 20:40,0.29,92
16/08/2013 20:50,0.44,140
16/08/2013 21:00,0.6,162
16/08/2013 21:10,0.54,161
16/08/2013 21:20,0.66,160
16/08/2013 21:30,0.7,168
16/08/2013 21:40,0.7,164
16/08/2013 21:50,0.74,145
16/08/2013 22:00,0.7,156
16/08/2013 22:10,0.58,159
16/08/2013 22:20,0.67,168
16/08/2013 22:30,0.74,161
16/08/2013 22:40,0.9,162
16/08/2013 22:50,0.71,160
16/08/2013 23:00,1,163
16/08/2013 23:10,0.71,165
16/08/2013 23:20,0.69,165
16/08/2013 23:30,0.72,160
16/08/2013 23:40,0.8,163
16/08/2013 23:50,0.77,168
17/08/2013 00:00,0.65,163
17/08/2013 00:10,0.59,163
17/08/2013 00:20,0.46,150
17/08/2013 00:30,0.43,171
17/08/2013 00:40,0.48,176
17/08/2013 00:50,0.39,163
17/08/2013 01:00,0.38,168
17/08/2013 01:10,0.23,161
17/08/2013 01:20,0.35,181
17/08/2013 01:30,0.2,163
17/08/2013 01:40,0.25,204
17/08/2013 01:50,0.05,59
17/08/2013 02:00,0.1,22
17/08/2013 02:10,0.25,316
17/08/2013 02:20,0.17,331
17/08/2013 02:30,0.38,301
17/08/2013 02:40,0.27,287
17/08/2013 02:50,0.38,335
17/08/2013 03:00,0.37,347
17/08/2013 03:10,0.55,334
17/08/2013 03:20,0.54,334
17/08/2013 03:30,0.46,331
17/08/2013 03:40,0.69,322
17/08/2013 03:50,0.81,328
17/08/2013 04:00,0.8,333
17/08/2013 04:10,0.76,337
17/08/2013 04:20,0.57,350
17/08/2013 04:30,0.65,333
17/08/2013 04:40,0.79,340
17/08/2013 04:50,0.79,339
17/08/2013 05:00,0.81,324
17/08/2013 05:10,0.78,332
17/08/2013 05:20,0.61,328
17/08/2013 05:30,0.72,332
17/08/2013 05:40,0.72,337
17/08/2013 05:50,0.69,328
17/08/2013 06:00,0.62,325
17/08/2013 06:10,0.71,333
17/08/2013 06:20,0.59,333
17/08/2013 06:30,0.57,330
17/08/2013 06:40,0.62,334
17/08/2013 06:50,0.57,325
17/08/2013 07:00,0.55,338
17/08/2013 07:10,0.53,324
17/08/2013 07:20,0.38,326
17/08/2013 07:30,0.34,319
17/08/2013 07:40,0.22,340
17/08/2013 07:50,0.31,316
17/08/2013 08:00,0.17,7
17/08/2013 08:10,0.18,325
17/08/2013 08:20,0.14,332
17/08/2013 08:30,0.11,270
17/08/2013 08:40,0.25,224
17/08/2013 08:50,0.26,216
17/08/2013 09:00,0.18,177
17/08/2013 09:10,0.21,219
17/08/2013 09:20,0.54,151
17/08/2013 09:30,0.58,151
17/08/2013 09:40,0.49,149
17/08/2013 09:50,0.6,155
17/08/2013 10:00,0.57,162
17/08/2013 10:10,0.7,166
17/08/2013 10:20,0.74,154
17/08/2013 10:30,0.7,158
17/08/2013 10:40,0.8,165
17/08/2013 10:50,0.87,161
17/08/2013 11:00,0.88,158
19/08/2013 14:00,1.27,156
19/08/2013 14:10,1.3,167
19/08/2013 14:20,1.33,162
19/08/2013 14:30,1.32,165
19/08/2013 14:40,1.17,166
19/08/2013 14:50,1.06,158
19/08/2013 15:00,1.05,167
19/08/2013 15:10,1.03,163
19/08/2013 15:20,0.88,170
19/08/2013 15:30,0.7,175
19/08/2013 15:40,0.69,152
19/08/2013 15:50,0.6,161
19/08/2013 16:00,0.41,179
19/08/2013 16:10,0.42,167
19/08/2013 16:20,0.29,168
19/08/2013 16:30,0.19,170
19/08/2013 16:40,0.09,222
19/08/2013 16:50,0.06,195
19/08/2013 17:00,0.22,288
19/08/2013 17:10,0.19,328
19/08/2013 17:20,0.23,326
19/08/2013 17:30,0.49,356
19/08/2013 17:40,0.66,359
19/08/2013 17:50,0.72,345
19/08/2013 18:00,0.91,348
19/08/2013 18:10,1.06,346
19/08/2013 18:20,1.15,342
19/08/2013 18:30,1.11,347
19/08/2013 18:40,1.01,343
19/08/2013 18:50,1.02,338
19/08/2013 19:00,1.06,341
19/08/2013 19:10,1.03,343
19/08/2013 19:20,0.98,351
19/08/2013 19:30,1.19,340
19/08/2013 19:40,1.25,331
19/08/2013 19:50,1.38,345
19/08/2013 20:00,1.05,348
19/08/2013 20:10,1.25,349
19/08/2013 20:20,1.15,337
19/08/2013 20:30,1.19,331
19/08/2013 20:40,1.21,343
19/08/2013 20:50,1.07,347
19/08/2013 21:00,1.06,340
19/08/2013 21:10,0.98,339
19/08/2013 21:20,0.98,325
19/08/2013 21:30,0.85,347
19/08/2013 21:40,0.72,326
19/08/2013 21:50,0.91,335
19/08/2013 22:00,0.74,327
19/08/2013 22:10,0.6,315
19/08/2013 22:20,0.43,317
19/08/2013 22:30,0.32,312
19/08/2013 22:40,0.13,20
19/08/2013 22:50,0.25,299
19/08/2013 23:00,0.2,286
19/08/2013 23:10,0.14,235
19/08/2013 23:20,0.29,211
19/08/2013 23:30,0.21,184
19/08/2013 23:40,0.42,147
19/08/2013 23:50,0.53,161
20/08/2013 00:00,0.67,165
20/08/2013 00:10,0.85,157
20/08/2013 00:20,1,168
