time,time,water_level
11/08/2013 23:59,0,1.54
12/08/2013 00:59,3600,1.3
12/08/2013 01:59,7200,0.77
12/08/2013 02:59,10800,0.07
12/08/2013 03:59,14400,-0.6
12/08/2013 04:59,18000,-1.04
12/08/2013 05:59,21600,-1.3
12/08/2013 06:59,25200,-1.35
12/08/2013 07:59,28800,-1.05
12/08/2013 08:59,32400,-0.41
12/08/2013 09:59,36000,0.37
12/08/2013 10:59,39600,0.97
12/08/2013 11:59,43200,1.23
12/08/2013 12:59,46800,1.17
12/08/2013 13:59,50400,0.8
12/08/2013 14:59,54000,0.24
12/08/2013 15:59,57600,-0.37
12/08/2013 16:59,61200,-0.83
12/08/2013 17:59,64800,-1.11
12/08/2013 18:59,68400,-1.17
12/08/2013 19:59,72000,-0.95
12/08/2013 20:59,75600,-0.37
12/08/2013 21:59,79200,0.39
12/08/2013 22:59,82800,1.02
12/08/2013 23:59,86400,1.36
13/08/2013 00:59,90000,1.33
13/08/2013 01:59,93600,0.98
13/08/2013 02:59,97200,0.41
13/08/2013 03:59,100800,-0.24
13/08/2013 04:59,104400,-0.79
13/08/2013 05:59,108000,-1.13
13/08/2013 06:59,111600,-1.28
13/08/2013 07:59,115200,-1.2
13/08/2013 08:59,118800,-0.83
13/08/2013 09:59,122400,-0.18
13/08/2013 10:59,126000,0.49
13/08/2013 11:59,129600,0.98
13/08/2013 12:59,133200,1.13
13/08/2013 13:59,136800,1
13/08/2013 14:59,140400,0.63
13/08/2013 15:59,144000,0.13
13/08/2013 16:59,147600,-0.36
13/08/2013 17:59,151200,-0.71
13/08/2013 18:59,154800,-0.89
13/08/2013 19:59,158400,-0.89
13/08/2013 20:59,162000,-0.6
13/08/2013 21:59,165600,-0.08
13/08/2013 22:59,169200,0.53
13/08/2013 23:59,172800,0.99
14/08/2013 00:59,176400,1.18
14/08/2013 01:59,180000,1.04
14/08/2013 02:59,183600,0.67
14/08/2013 03:59,187200,0.13
14/08/2013 04:59,190800,-0.44
14/08/2013 05:59,194400,-0.89
14/08/2013 06:59,198000,-1.15
14/08/2013 07:59,201600,-1.22
14/08/2013 08:59,205200,-1.1
14/08/2013 09:59,208800,-0.7
14/08/2013 10:59,212400,-0.14
14/08/2013 11:59,216000,0.47
14/08/2013 12:59,219600,0.89
14/08/2013 13:59,223200,0.99
14/08/2013 14:59,226800,0.88
14/08/2013 15:59,230400,0.59
14/08/2013 16:59,234000,0.19
14/08/2013 17:59,237600,-0.21
14/08/2013 18:59,241200,-0.51
14/08/2013 19:59,244800,-0.64
14/08/2013 20:59,248400,-0.63
14/08/2013 21:59,252000,-0.4
14/08/2013 22:59,255600,0.02
14/08/2013 23:59,259200,0.49
15/08/2013 00:59,262800,0.81
15/08/2013 01:59,266400,0.9
15/08/2013 02:59,270000,0.77
15/08/2013 03:59,273600,0.43
15/08/2013 04:59,277200,-0.03
15/08/2013 05:59,280800,-0.51
15/08/2013 06:59,284400,-0.88
15/08/2013 07:59,288000,-1.11
15/08/2013 08:59,291600,-1.17
15/08/2013 09:59,295200,-1.05
15/08/2013 10:59,298800,-0.7
15/08/2013 11:59,302400,-0.24
15/08/2013 12:59,306000,0.33
15/08/2013 13:59,309600,0.7
15/08/2013 14:59,313200,0.88
15/08/2013 15:59,316800,0.86
15/08/2013 16:59,320400,0.68
15/08/2013 17:59,324000,0.36
15/08/2013 18:59,327600,0.03
15/08/2013 19:59,331200,-0.24
15/08/2013 20:59,334800,-0.42
15/08/2013 21:59,338400,-0.47
15/08/2013 22:59,342000,-0.34
15/08/2013 23:59,345600,-0.05
16/08/2013 00:59,349200,0.29
16/08/2013 01:59,352800,0.57
16/08/2013 02:59,356400,0.68
16/08/2013 03:59,360000,0.59
16/08/2013 04:59,363600,0.35
16/08/2013 05:59,367200,-0.04
16/08/2013 06:59,370800,-0.44
16/08/2013 07:59,374400,-0.8
16/08/2013 08:59,378000,-1.06
16/08/2013 09:59,381600,-1.18
16/08/2013 10:59,385200,-1.11
16/08/2013 11:59,388800,-0.84
16/08/2013 12:59,392400,-0.4
16/08/2013 13:59,396000,0.13
16/08/2013 14:59,399600,0.56
16/08/2013 15:59,403200,0.85
16/08/2013 16:59,406800,0.96
16/08/2013 17:59,410400,0.89
16/08/2013 18:59,414000,0.65
16/08/2013 19:59,417600,0.31
16/08/2013 20:59,421200,-0.03
16/08/2013 21:59,424800,-0.28
16/08/2013 22:59,428400,-0.46
16/08/2013 23:59,432000,-0.48
17/08/2013 00:59,435600,-0.33
17/08/2013 01:59,439200,0
17/08/2013 02:59,442800,0.32
17/08/2013 03:59,446400,0.54
17/08/2013 04:59,450000,0.58
17/08/2013 05:59,453600,0.44
17/08/2013 06:59,457200,0.13
17/08/2013 07:59,460800,-0.29
17/08/2013 08:59,464400,-0.72
17/08/2013 09:59,468000,-1.06
17/08/2013 10:59,471600,-1.27
17/08/2013 11:59,475200,-1.33
17/08/2013 12:59,478800,-1.11
17/08/2013 13:59,482400,-0.67
17/08/2013 14:59,486000,-0.07
17/08/2013 15:59,489600,0.5
17/08/2013 16:59,493200,0.93
17/08/2013 17:59,496800,1.19
17/08/2013 18:59,500400,1.2
17/08/2013 19:59,504000,0.98
17/08/2013 20:59,507600,0.56
17/08/2013 21:59,511200,0.1
17/08/2013 22:59,514800,-0.28
17/08/2013 23:59,518400,-0.57
18/08/2013 00:59,522000,-0.7
18/08/2013 01:59,525600,-0.6
18/08/2013 02:59,529200,-0.24
18/08/2013 03:59,532800,0.22
18/08/2013 04:59,536400,0.6
18/08/2013 05:59,540000,0.76
18/08/2013 06:59,543600,0.68
18/08/2013 07:59,547200,0.37
18/08/2013 08:59,550800,-0.1
18/08/2013 09:59,554400,-0.65
18/08/2013 10:59,558000,-1.1
18/08/2013 11:59,561600,-1.41
18/08/2013 12:59,565200,-1.52
18/08/2013 13:59,568800,-1.38
18/08/2013 14:59,572400,-0.9
18/08/2013 15:59,576000,-0.17
18/08/2013 16:59,579600,0.58
18/08/2013 17:59,583200,1.17
18/08/2013 18:59,586800,1.5
18/08/2013 19:59,590400,1.52
18/08/2013 20:59,594000,1.24
18/08/2013 21:59,597600,0.71
18/08/2013 22:59,601200,0.12
18/08/2013 23:59,604800,-0.4
19/08/2013 00:59,608400,-0.78
19/08/2013 01:59,612000,-0.99
19/08/2013 02:59,615600,-0.85
19/08/2013 03:59,619200,-0.39
19/08/2013 04:59,622800,0.26
19/08/2013 05:59,626400,0.79
19/08/2013 06:59,630000,1.04
