nohup: ignoring input
Exporting to ../../outputs/3d_b_v1.0
UFL:WARNING Discontinuous Lagrange element requested on triangle * interval, creating DQ element.
Using default SIPG parameters
Coupled time integrator: CoupledTwoStageRK
  2D time integrator: ESDIRKTrapezoid
  3D time integrator: SSPRK22ALE
  3D implicit time integrator: BackwardEuler
2D mesh: 5151 nodes, 10000 triangles
3D mesh: 4 layers, 40000 prisms
Horizontal element size: 2.24 ... 2.24 m
Vertical element size: 10.000 ... 10.000 m
Element family: dg-dg, degree: 1
Number of tracer DOFs: 240000
Number of cores: 8
Tracer DOFs per core: ~30000.0
  - dt 2d swe: 0.004901703866484176
  - dt h. advection: 0.03726779962499632
  - dt v. advection: 249.99999999999898
  - dt viscosity: 0.04999999999999954
  - CFL adjusted dt: 2D: inf 3D: 0.03726779962499632
  - chosen dt: 2D: 0.03726779962499632 3D: 0.03726779962499632
  - adjusted dt: 2D: 0.037037037037037035 3D: 0.037037037037037035
dt = 0.037037
max h diff 1.1249999999999931 - 1.1250000000000029
    0     0 T=      0.00 eta norm:     0.0000 u norm:     0.0000  0.00
    1    27 T=      1.00 eta norm:     1.7133 u norm:     0.0000 24.34
    2    54 T=      2.00 eta norm:     4.8551 u norm:     0.0001 22.77
    3    81 T=      3.00 eta norm:     8.9241 u norm:     0.0002 22.82
    4   108 T=      4.00 eta norm:    13.7449 u norm:     0.0006 23.65
    5   135 T=      5.00 eta norm:    19.2160 u norm:     0.0012 24.99
    6   162 T=      6.00 eta norm:    25.2685 u norm:     0.0025 22.96
    7   189 T=      7.00 eta norm:    31.8515 u norm:     0.0085 22.87
    8   216 T=      8.00 eta norm:    38.9255 u norm:     0.0264 23.61
    9   243 T=      9.00 eta norm:    46.4585 u norm:     0.0616 24.25
   10   270 T=     10.00 eta norm:    54.4237 u norm:     0.1191 23.09
   11   297 T=     11.00 eta norm:    62.7982 u norm:     0.2035 23.11
   12   324 T=     12.00 eta norm:    71.5623 u norm:     0.3185 24.39
   13   351 T=     13.00 eta norm:    80.6951 u norm:     0.4675 22.54
   14   378 T=     14.00 eta norm:    90.0575 u norm:     0.6528 22.50
   15   405 T=     15.00 eta norm:    99.4100 u norm:     0.8761 20.92
   16   432 T=     16.00 eta norm:   108.5855 u norm:     1.1384 20.95
   17   459 T=     17.00 eta norm:   117.4694 u norm:     1.4401 22.78
   18   486 T=     18.00 eta norm:   125.9783 u norm:     1.7810 25.48
   19   513 T=     19.00 eta norm:   134.0484 u norm:     2.1605 21.68
   20   540 T=     20.00 eta norm:   141.6276 u norm:     2.5775 22.57
   21   567 T=     21.00 eta norm:   148.6715 u norm:     3.0418 22.15
   22   594 T=     22.00 eta norm:   155.1395 u norm:     3.5731 22.41
   23   621 T=     23.00 eta norm:   160.9938 u norm:     4.1722 23.26
   24   648 T=     24.00 eta norm:   166.1971 u norm:     4.8388 22.30
   25   675 T=     25.00 eta norm:   170.7082 u norm:     5.5692 21.13
   26   702 T=     26.00 eta norm:   174.6657 u norm:     6.3528 15.84
   27   729 T=     27.00 eta norm:   178.3851 u norm:     7.1833 15.63
   28   756 T=     28.00 eta norm:   181.8815 u norm:     8.0548 15.57
   29   783 T=     29.00 eta norm:   185.1614 u norm:     8.9629 15.85
   30   810 T=     30.00 eta norm:   188.2296 u norm:     9.9051 15.60
   31   837 T=     31.00 eta norm:   191.0898 u norm:    10.8651 15.50
   32   864 T=     32.00 eta norm:   193.7454 u norm:    11.8172 15.65
   33   891 T=     33.00 eta norm:   196.1980 u norm:    12.7662 15.69
   34   918 T=     34.00 eta norm:   198.4486 u norm:    13.7111 15.67
   35   945 T=     35.00 eta norm:   200.4975 u norm:    14.6518 15.63
   36   972 T=     36.00 eta norm:   202.3440 u norm:    15.5891 15.72
   37   999 T=     37.00 eta norm:   203.9869 u norm:    16.5180 15.73
   38  1026 T=     38.00 eta norm:   205.4243 u norm:    17.4527 15.61
   39  1053 T=     39.00 eta norm:   206.6569 u norm:    18.3927 15.83
   40  1080 T=     40.00 eta norm:   207.6927 u norm:    19.3429 15.76
   41  1107 T=     41.00 eta norm:   208.5395 u norm:    20.2925 16.07
   42  1134 T=     42.00 eta norm:   209.2045 u norm:    21.2481 15.68
   43  1161 T=     43.00 eta norm:   209.6949 u norm:    22.2174 15.56
   44  1188 T=     44.00 eta norm:   210.0172 u norm:    23.1951 15.83
   45  1215 T=     45.00 eta norm:   210.1776 u norm:    24.1876 15.84
   46  1242 T=     46.00 eta norm:   210.1819 u norm:    25.1827 15.76
   47  1269 T=     47.00 eta norm:   210.0358 u norm:    26.1939 15.67
   48  1296 T=     48.00 eta norm:   209.7445 u norm:    27.2201 15.69
   49  1323 T=     49.00 eta norm:   209.3131 u norm:    28.2656 15.65
   50  1350 T=     50.00 eta norm:   208.7608 u norm:    29.3368 15.62
   51  1377 T=     51.00 eta norm:   208.1097 u norm:    30.4249 15.78
   52  1404 T=     52.00 eta norm:   207.3572 u norm:    31.5256 15.77
   53  1431 T=     53.00 eta norm:   206.4976 u norm:    32.6414 15.78
   54  1458 T=     54.00 eta norm:   205.5322 u norm:    33.7772 15.81
   55  1485 T=     55.00 eta norm:   204.4660 u norm:    34.9234 15.61
   56  1512 T=     56.00 eta norm:   203.3033 u norm:    36.0819 15.67
   57  1539 T=     57.00 eta norm:   202.0492 u norm:    37.2500 16.01
   58  1566 T=     58.00 eta norm:   200.7086 u norm:    38.4204 15.56
   59  1593 T=     59.00 eta norm:   199.2863 u norm:    39.5911 15.66
   60  1620 T=     60.00 eta norm:   197.7872 u norm:    40.7638 15.76
   61  1647 T=     61.00 eta norm:   196.2164 u norm:    41.9418 15.71
   62  1674 T=     62.00 eta norm:   194.5787 u norm:    43.1238 15.56
   63  1701 T=     63.00 eta norm:   192.8793 u norm:    44.3082 15.54
   64  1728 T=     64.00 eta norm:   191.1233 u norm:    45.4939 16.16
   65  1755 T=     65.00 eta norm:   189.3150 u norm:    46.6811 16.04
   66  1782 T=     66.00 eta norm:   187.4584 u norm:    47.8727 15.62
   67  1809 T=     67.00 eta norm:   185.5573 u norm:    49.0666 16.30
   68  1836 T=     68.00 eta norm:   183.6157 u norm:    50.2618 15.57
   69  1863 T=     69.00 eta norm:   181.6377 u norm:    51.4624 15.81
   70  1890 T=     70.00 eta norm:   179.6272 u norm:    52.6647 15.32
   71  1917 T=     71.00 eta norm:   177.5883 u norm:    53.8662 16.07
   72  1944 T=     72.00 eta norm:   175.5252 u norm:    55.0668 16.28
   73  1971 T=     73.00 eta norm:   173.4421 u norm:    56.2651 15.51
   74  1998 T=     74.00 eta norm:   171.3430 u norm:    57.4564 16.81
   75  2025 T=     75.00 eta norm:   169.2335 u norm:    58.6447 22.59
   76  2052 T=     76.00 eta norm:   167.1296 u norm:    59.8302 23.15
   77  2079 T=     77.00 eta norm:   165.0389 u norm:    61.0119 23.30
   78  2106 T=     78.00 eta norm:   162.9671 u norm:    62.1910 22.41
   79  2133 T=     79.00 eta norm:   160.9166 u norm:    63.3664 21.72
   80  2160 T=     80.00 eta norm:   158.8877 u norm:    64.5354 21.95
   81  2187 T=     81.00 eta norm:   156.8808 u norm:    65.7030 24.23
   82  2214 T=     82.00 eta norm:   154.8960 u norm:    66.8650 24.17
   83  2241 T=     83.00 eta norm:   152.9330 u norm:    68.0239 23.39
