Exporting to ../../outputs/5.3D/dx150
UFL:WARNING Discontinuous Lagrange element requested on triangle * interval, creating DQ element.
Using default SIPG parameters
Coupled time integrator: CoupledTwoStageRK
  2D time integrator: ESDIRKTrapezoid
  3D time integrator: SSPRK22ALE
  3D implicit time integrator: BackwardEuler
2D mesh: 1313 nodes, 2400 triangles
3D mesh: 6 layers, 14400 prisms
Horizontal element size: 1.00 ... 1.00 m
Vertical element size: 0.900 ... 0.900 m
Element family: dg-dg, degree: 1
Number of tracer DOFs: 86400
Number of cores: 8
Tracer DOFs per core: ~10800.0
  - dt 2d swe: 0.004638940161693393
  - dt h. advection: 0.014285714285714193
  - dt v. advection: 22.49999999999989
  - dt viscosity: 0.00999999999999987
  - CFL adjusted dt: 2D: inf 3D: 0.00999999999999987
  - chosen dt: 2D: 0.00999999999999987 3D: 0.00999999999999987
  - adjusted dt: 2D: 0.009995002498750625 3D: 0.009995002498750625
dt = 0.009995
max h diff 0.8337499999999952 - 0.8337500000000025
    0     0 T=      0.00 eta norm:     0.0000 u norm:     0.0000  0.00
    1  2001 T=     20.00 eta norm:    13.5540 u norm:     0.4085 462.00
    2  4002 T=     40.00 eta norm:    23.0216 u norm:     3.2133 459.49
    3  6003 T=     60.00 eta norm:    25.3010 u norm:     9.9144 459.67
    4  8004 T=     80.00 eta norm:    23.6397 u norm:    20.5622 459.12
    5 10005 T=    100.00 eta norm:    20.3225 u norm:    31.4841 459.63
    6 12006 T=    120.00 eta norm:    17.1779 u norm:    38.9195 460.12
    7 14007 T=    140.00 eta norm:    14.1895 u norm:    43.2885 459.42
    8 16008 T=    160.00 eta norm:    11.5738 u norm:    48.6575 459.47
    9 18009 T=    180.00 eta norm:     9.4937 u norm:    53.5545 459.60
   10 20010 T=    200.00 eta norm:     7.6230 u norm:    59.1839 459.57
   11 22011 T=    220.00 eta norm:     6.1433 u norm:    63.5621 460.53
   12 24012 T=    240.00 eta norm:     4.8893 u norm:    65.4595 460.67
   13 26013 T=    260.00 eta norm:     3.9615 u norm:    65.3466 459.80
   14 28014 T=    280.00 eta norm:     3.4248 u norm:    66.0038 460.81
   15 30015 T=    300.00 eta norm:     3.0211 u norm:    65.2909 460.04
   16 32016 T=    320.00 eta norm:     2.6842 u norm:    64.1062 460.05
   17 34017 T=    340.00 eta norm:     2.5861 u norm:    66.0547 460.07
   18 36018 T=    360.00 eta norm:     4.3850 u norm:    59.9987 460.78
   19 38019 T=    380.00 eta norm:     5.7217 u norm:    46.9388 459.84
   20 40020 T=    400.00 eta norm:     7.3702 u norm:    39.4760 460.27
   21 42021 T=    420.00 eta norm:     7.1603 u norm:    33.8054 460.73
   22 44022 T=    440.00 eta norm:     7.7032 u norm:    36.2215 460.13
   23 46023 T=    460.00 eta norm:     7.4880 u norm:    38.9675 459.53
   24 48024 T=    480.00 eta norm:     7.0975 u norm:    40.8452 461.00
   25 50025 T=    500.00 eta norm:     6.4997 u norm:    45.5829 460.50
   26 52026 T=    520.00 eta norm:     6.7139 u norm:    50.8516 460.56
   27 54027 T=    540.00 eta norm:     7.5226 u norm:    54.2997 460.50
   28 56028 T=    560.00 eta norm:     8.0183 u norm:    50.0419 460.99
   29 58029 T=    580.00 eta norm:    10.1209 u norm:    39.5089 461.37
   30 60030 T=    600.00 eta norm:     9.2394 u norm:    36.4914 460.48
   31 62031 T=    620.00 eta norm:     9.0929 u norm:    39.2363 460.31
   32 64032 T=    640.00 eta norm:     7.8831 u norm:    41.0497 461.28
   33 66033 T=    660.00 eta norm:     7.9878 u norm:    43.8943 460.82
   34 68034 T=    680.00 eta norm:     7.4161 u norm:    44.5573 460.46
   35 70035 T=    700.00 eta norm:     8.1336 u norm:    45.7418 461.64
   36 72036 T=    720.00 eta norm:     7.5742 u norm:    46.2659 461.07
   37 74037 T=    740.00 eta norm:     8.0044 u norm:    43.0242 460.72
   38 76038 T=    760.00 eta norm:     7.9731 u norm:    42.0206 460.76
   39 78039 T=    780.00 eta norm:     8.6162 u norm:    41.0001 460.69
   40 80040 T=    800.00 eta norm:     8.4447 u norm:    38.5941 459.96
   41 82041 T=    820.00 eta norm:     9.5439 u norm:    38.0116 460.95
   42 84042 T=    840.00 eta norm:     8.6578 u norm:    40.0027 461.12
   43 86043 T=    860.00 eta norm:     8.6094 u norm:    41.7601 460.76
   44 88044 T=    880.00 eta norm:     8.5318 u norm:    44.2212 462.24
   45 90045 T=    900.00 eta norm:     7.5782 u norm:    43.0881 466.10
   46 92046 T=    920.00 eta norm:     8.8227 u norm:    42.7386 473.07
   47 94047 T=    940.00 eta norm:     8.2439 u norm:    42.9058 469.22
   48 96048 T=    960.00 eta norm:     7.8963 u norm:    43.1958 461.13
   49 98049 T=    980.00 eta norm:     8.0314 u norm:    39.2754 459.67
   50 100050 T=   1000.00 eta norm:     9.2917 u norm:    37.2711 459.79
   51 102051 T=   1020.00 eta norm:     8.1446 u norm:    36.0190 459.90
   52 104052 T=   1040.00 eta norm:     8.5910 u norm:    37.2599 459.09
   53 106053 T=   1060.00 eta norm:     8.2692 u norm:    39.6497 459.81
   54 108054 T=   1080.00 eta norm:     8.5205 u norm:    42.1317 460.37
   55 110055 T=   1100.00 eta norm:     7.9435 u norm:    44.2568 459.23
   56 112056 T=   1120.00 eta norm:     9.7254 u norm:    44.2976 459.58
   57 114057 T=   1140.00 eta norm:     8.3883 u norm:    42.7468 459.57
   58 116058 T=   1160.00 eta norm:     8.9939 u norm:    40.9464 460.80
   59 118059 T=   1180.00 eta norm:     6.9424 u norm:    41.8864 459.34
   60 120060 T=   1200.00 eta norm:    10.1671 u norm:    39.9172 460.08
   61 122061 T=   1220.00 eta norm:     8.4372 u norm:    40.2854 460.19
   62 124062 T=   1240.00 eta norm:     8.9190 u norm:    42.2213 460.28
   63 126063 T=   1260.00 eta norm:     7.9402 u norm:    42.5905 460.07
   64 128064 T=   1280.00 eta norm:     9.0168 u norm:    42.6919 460.24
   65 130065 T=   1300.00 eta norm:     8.1316 u norm:    42.9272 463.66
   66 132066 T=   1320.00 eta norm:     7.4636 u norm:    41.6307 459.97
   67 134067 T=   1340.00 eta norm:     6.9389 u norm:    41.4769 460.79
   68 136068 T=   1360.00 eta norm:     7.8076 u norm:    42.6368 459.40
   69 138069 T=   1380.00 eta norm:     7.5488 u norm:    41.4882 459.75
   70 140070 T=   1400.00 eta norm:     9.0853 u norm:    39.2739 459.84
   71 142071 T=   1420.00 eta norm:     8.0980 u norm:    37.5964 460.08
