nohup: ignoring input
Exporting to ../../outputs/3d_v0.1
UFL:WARNING Discontinuous Lagrange element requested on triangle * interval, creating DQ element.
Using default SIPG parameters
Coupled time integrator: CoupledTwoStageRK
  2D time integrator: ESDIRKTrapezoid
  3D time integrator: SSPRK22ALE
  3D implicit time integrator: BackwardEuler
2D mesh: 5151 nodes, 10000 triangles
3D mesh: 4 layers, 40000 prisms
Horizontal element size: 1.73 ... 1.73 m
Vertical element size: 10.000 ... 10.000 m
Element family: dg-dg, degree: 1
Number of tracer DOFs: 240000
Number of cores: 8
Tracer DOFs per core: ~30000.0
  - dt 2d swe: 0.0037968434885867356
  - dt h. advection: 0.028867513459481086
  - dt v. advection: 249.9999999999982
  - dt viscosity: 0.029999999999999576
  - CFL adjusted dt: 2D: inf 3D: 0.028867513459481086
  - chosen dt: 2D: 0.028867513459481086 3D: 0.028867513459481086
  - adjusted dt: 2D: 0.02886002886002886 3D: 0.02886002886002886
dt = 0.028860
max h diff 0.8662499999999947 - 0.8662500000000026
    0     0 T=      0.00 eta norm:     0.0000 u norm:     0.0000  0.00
tsfc:WARNING Estimated quadrature degree (23, 23) more than tenfold greater than any argument/coefficient degree (max (1, 1))
    1   693 T=     20.00 eta norm:    91.5326 u norm:     4.1013 751.84
    2  1386 T=     40.00 eta norm:    94.1680 u norm:    17.8620 909.65
    3  2079 T=     60.00 eta norm:    80.1111 u norm:    34.7382 931.40
    4  2772 T=     80.00 eta norm:    67.3252 u norm:    53.4160 934.59
    5  3465 T=    100.00 eta norm:    53.4556 u norm:    72.0329 904.61
    6  4158 T=    120.00 eta norm:    40.7414 u norm:    89.7093 926.28
    7  4851 T=    140.00 eta norm:    30.3363 u norm:   106.1080 930.64
    8  5544 T=    160.00 eta norm:    22.3813 u norm:   122.1771 921.48
    9  6237 T=    180.00 eta norm:    16.5401 u norm:   137.8290 928.17
   10  6930 T=    200.00 eta norm:    12.3277 u norm:   152.4835 929.53
   11  7623 T=    220.00 eta norm:     9.4226 u norm:   166.7210 927.81
   12  8316 T=    240.00 eta norm:     7.4578 u norm:   180.6724 931.05
   13  9009 T=    260.00 eta norm:     6.1493 u norm:   194.5073 931.53
   14  9702 T=    280.00 eta norm:     5.2861 u norm:   208.1285 932.47
   15 10395 T=    300.00 eta norm:     4.7238 u norm:   221.6657 929.43
   16 11088 T=    320.00 eta norm:     4.3536 u norm:   235.0875 931.75
   17 11781 T=    340.00 eta norm:     4.1054 u norm:   248.1673 933.72
   18 12474 T=    360.00 eta norm:     3.9377 u norm:   260.4654 929.47
   19 13167 T=    380.00 eta norm:     3.8177 u norm:   271.9894 932.42
   20 13860 T=    400.00 eta norm:     3.7332 u norm:   282.5787 930.29
   21 14553 T=    420.00 eta norm:     3.6682 u norm:   292.5666 932.64
   22 15246 T=    440.00 eta norm:     3.6221 u norm:   301.9423 928.60
   23 15939 T=    460.00 eta norm:     3.5868 u norm:   310.7803 929.02
   24 16632 T=    480.00 eta norm:     3.5575 u norm:   319.1552 928.90
   25 17325 T=    500.00 eta norm:     3.5328 u norm:   327.1489 933.68
   26 18018 T=    520.00 eta norm:     3.5120 u norm:   334.7982 932.16
   27 18711 T=    540.00 eta norm:     3.4929 u norm:   342.2445 932.08
   28 19404 T=    560.00 eta norm:     3.4706 u norm:   349.4701 931.74
   29 20097 T=    580.00 eta norm:     3.4543 u norm:   356.3540 936.76
   30 20790 T=    600.00 eta norm:     3.4357 u norm:   363.0463 933.07
   31 21483 T=    620.00 eta norm:     3.4178 u norm:   369.5475 934.74
   32 22176 T=    640.00 eta norm:     3.4021 u norm:   375.8902 933.03
   33 22869 T=    660.00 eta norm:     3.3865 u norm:   382.0556 933.59
   34 23562 T=    680.00 eta norm:     3.3691 u norm:   388.1518 931.55
   35 24255 T=    700.00 eta norm:     3.3518 u norm:   394.0596 931.44
   36 24948 T=    720.00 eta norm:     3.3345 u norm:   399.8008 930.49
   37 25641 T=    740.00 eta norm:     3.3187 u norm:   405.4102 927.81
   38 26334 T=    760.00 eta norm:     3.3054 u norm:   411.0969 923.00
   39 27027 T=    780.00 eta norm:     3.2918 u norm:   416.6739 918.20
   40 27720 T=    800.00 eta norm:     3.2723 u norm:   422.2911 924.44
   41 28413 T=    820.00 eta norm:     3.2625 u norm:   427.7170 896.39
   42 29106 T=    840.00 eta norm:     3.2565 u norm:   432.7356 892.91
   43 29799 T=    860.00 eta norm:     3.2553 u norm:   437.3546 894.42
   44 30492 T=    880.00 eta norm:     3.2616 u norm:   441.5341 884.39
   45 31185 T=    900.00 eta norm:     3.2666 u norm:   445.2079 890.25
   46 31878 T=    920.00 eta norm:     3.2810 u norm:   448.3314 888.64
   47 32571 T=    940.00 eta norm:     3.2939 u norm:   451.2208 890.44
   48 33264 T=    960.00 eta norm:     3.3114 u norm:   453.7473 904.53
   49 33957 T=    980.00 eta norm:     3.3430 u norm:   456.1599 916.05
   50 34650 T=   1000.00 eta norm:     3.3727 u norm:   458.6598 913.21
   51 35343 T=   1020.00 eta norm:     3.4205 u norm:   461.1888 922.12
   52 36036 T=   1040.00 eta norm:     3.4649 u norm:   464.3737 917.97
   53 36729 T=   1060.00 eta norm:     3.5102 u norm:   468.5562 917.32
   54 37422 T=   1080.00 eta norm:     3.5913 u norm:   473.4609 925.86
   55 38115 T=   1100.00 eta norm:     3.7133 u norm:   478.9560 919.57
   56 38808 T=   1120.00 eta norm:     3.8744 u norm:   484.7640 926.58
   57 39501 T=   1140.00 eta norm:     4.0847 u norm:   490.5508 924.55
   58 40194 T=   1160.00 eta norm:     4.3789 u norm:   496.5950 926.50
   59 40887 T=   1180.00 eta norm:     4.7399 u norm:   503.3387 926.11
   60 41580 T=   1200.00 eta norm:     5.2078 u norm:   510.3719 928.58
   61 42273 T=   1220.00 eta norm:     5.8051 u norm:   517.3229 925.09
   62 42966 T=   1240.00 eta norm:     6.5431 u norm:   523.5644 922.90
   63 43659 T=   1260.00 eta norm:     7.4469 u norm:   530.3314 919.98
   64 44352 T=   1280.00 eta norm:     8.5546 u norm:   536.1786 928.94
   65 45045 T=   1300.00 eta norm:     9.8531 u norm:   541.4995 925.08
   66 45738 T=   1320.00 eta norm:    11.4227 u norm:   545.8367 924.29
   67 46431 T=   1340.00 eta norm:    13.2612 u norm:   549.5388 928.04
   68 47124 T=   1360.00 eta norm:    15.4725 u norm:   553.9622 928.23
   69 47817 T=   1380.00 eta norm:    18.0423 u norm:   556.0893 920.30
   70 48510 T=   1400.00 eta norm:    21.0437 u norm:   559.6022 921.89
   71 49203 T=   1420.00 eta norm:    24.5098 u norm:   564.7770 919.44
   72 49896 T=   1440.00 eta norm:    28.5494 u norm:   569.4050 926.53
   73 50589 T=   1460.00 eta norm:    33.1348 u norm:   574.4708 925.65
   74 51282 T=   1480.00 eta norm:    38.2308 u norm:   575.6613 920.60
   75 51975 T=   1500.00 eta norm:    43.6251 u norm:   575.7998 923.51
   76 52668 T=   1520.00 eta norm:    49.2840 u norm:   570.8830 929.78
