nohup: ignoring input
Exporting to ../../outputs/3d_v1.0
UFL:WARNING Discontinuous Lagrange element requested on triangle * interval, creating DQ element.
Using default SIPG parameters
Coupled time integrator: CoupledTwoStageRK
  2D time integrator: ESDIRKTrapezoid
  3D time integrator: SSPRK22ALE
  3D implicit time integrator: BackwardEuler
2D mesh: 5151 nodes, 10000 triangles
3D mesh: 4 layers, 40000 prisms
Horizontal element size: 1.73 ... 1.73 m
Vertical element size: 10.000 ... 10.000 m
Element family: dg-dg, degree: 1
Number of tracer DOFs: 240000
Number of cores: 8
Tracer DOFs per core: ~30000.0
  - dt 2d swe: 0.0037968434885867356
  - dt h. advection: 0.028867513459481086
  - dt v. advection: 249.9999999999984
  - dt viscosity: 0.029999999999999576
  - CFL adjusted dt: 2D: inf 3D: 0.028867513459481086
  - chosen dt: 2D: 0.028867513459481086 3D: 0.028867513459481086
  - adjusted dt: 2D: 0.02886002886002886 3D: 0.02886002886002886
dt = 0.028860
max h diff 0.8662499999999947 - 0.8662500000000026
    0     0 T=      0.00 eta norm:     0.0000 u norm:     0.0000  0.00
    1   693 T=     20.00 eta norm:    91.5173 u norm:     2.3535 902.69
    2  1386 T=     40.00 eta norm:    94.1786 u norm:     9.3819 920.01
    3  2079 T=     60.00 eta norm:    80.1856 u norm:    19.5296 929.45
    4  2772 T=     80.00 eta norm:    67.4539 u norm:    30.3149 933.58
    5  3465 T=    100.00 eta norm:    53.6492 u norm:    43.8016 903.27
    6  4158 T=    120.00 eta norm:    41.0110 u norm:    51.1103 928.11
    7  4851 T=    140.00 eta norm:    30.6764 u norm:    55.0595 928.88
    8  5544 T=    160.00 eta norm:    22.7699 u norm:    56.5835 922.26
    9  6237 T=    180.00 eta norm:    16.9920 u norm:    59.0566 928.46
   10  6930 T=    200.00 eta norm:    12.8776 u norm:    61.7711 927.95
   11  7623 T=    220.00 eta norm:     9.9965 u norm:    62.7166 932.00
   12  8316 T=    240.00 eta norm:     8.0581 u norm:    63.4949 929.19
   13  9009 T=    260.00 eta norm:     6.7777 u norm:    64.9672 933.29
   14  9702 T=    280.00 eta norm:     5.9094 u norm:    67.6850 931.31
   15 10395 T=    300.00 eta norm:     5.3304 u norm:    69.0132 930.34
   16 11088 T=    320.00 eta norm:     4.9536 u norm:    70.5433 934.38
   17 11781 T=    340.00 eta norm:     4.6941 u norm:    72.4979 929.29
   18 12474 T=    360.00 eta norm:     4.5186 u norm:    73.9886 929.77
   19 13167 T=    380.00 eta norm:     4.3990 u norm:    75.7864 931.79
   20 13860 T=    400.00 eta norm:     4.3240 u norm:    77.6449 931.70
   21 14553 T=    420.00 eta norm:     4.2546 u norm:    80.2865 932.34
   22 15246 T=    440.00 eta norm:     4.2026 u norm:    82.1471 928.30
   23 15939 T=    460.00 eta norm:     4.1835 u norm:    83.3957 927.99
   24 16632 T=    480.00 eta norm:     4.1647 u norm:    85.1768 931.97
   25 17325 T=    500.00 eta norm:     4.1392 u norm:    86.7924 931.30
   26 18018 T=    520.00 eta norm:     4.1248 u norm:    88.1071 933.59
   27 18711 T=    540.00 eta norm:     4.1128 u norm:    89.0204 932.24
   28 19404 T=    560.00 eta norm:     4.1028 u norm:    90.2419 933.87
   29 20097 T=    580.00 eta norm:     4.0930 u norm:    91.4613 933.14
   30 20790 T=    600.00 eta norm:     4.0860 u norm:    92.3496 934.21
   31 21483 T=    620.00 eta norm:     4.0825 u norm:    93.1256 933.29
   32 22176 T=    640.00 eta norm:     4.0760 u norm:    93.7960 934.30
   33 22869 T=    660.00 eta norm:     4.0698 u norm:    94.6481 931.36
   34 23562 T=    680.00 eta norm:     4.0674 u norm:    95.7608 932.22
   35 24255 T=    700.00 eta norm:     4.0643 u norm:    96.0122 931.14
   36 24948 T=    720.00 eta norm:     4.0610 u norm:    96.4716 929.49
   37 25641 T=    740.00 eta norm:     4.0554 u norm:    97.2756 927.72
   38 26334 T=    760.00 eta norm:     4.0526 u norm:    97.8720 918.25
   39 27027 T=    780.00 eta norm:     4.0457 u norm:    98.9613 921.68
   40 27720 T=    800.00 eta norm:     4.0407 u norm:   100.0504 913.94
   41 28413 T=    820.00 eta norm:     4.0343 u norm:   100.8757 890.82
   42 29106 T=    840.00 eta norm:     4.0184 u norm:   102.1231 894.61
   43 29799 T=    860.00 eta norm:     4.0217 u norm:   102.3732 894.68
   44 30492 T=    880.00 eta norm:     4.0190 u norm:   103.5072 883.79
