0.0	0.0	3516.1413136606798	5041.140970154693	1968.6391229708324	461.2678180840281
0.0	2.0	2989.0082004188944	4096.029519711704	2029.4670917831158	461.2678180840281	48
0.0	4.0	2778.181430746417	3071.138434259988	2019.0741942711911	461.2678180840281	60
0.0	6.0	2477.4259732339583	2463.713740758469	2020.4159818627677	461.2678180840281	110
0.0	8.0	1756.71585181755	1771.8690716862866	2142.4231390505647	461.2678180840281	199

2.0	0.0	3451.232025750255	5483.3485730846205	1964.6658342351197	461.2678180840281	24
2.0	2.0	3197.0738929654876	4774.37956923118	2002.3696917583468	461.2678180840281	40
2.0	4.0	2907.2527381673017	3660.0488712947517	2028.9255235560838	461.2678180840281	41
2.0	6.0	2992.9090423321923	3289.896480271673	2028.7835028506663	461.2678180840281	41
2.0	8.0	2949.9265011795974	3213.959679679146	2028.2583907038302	461.2678180840281	56

4.0	0.0	3377.7218507866473	6766.737745367633	1920.8256426137386	461.2678180840281	41
4.0	2.0	3097.4402610681295	4851.55694557272	1973.2033489816786	461.2678180840281	38
4.0	4.0	3124.9252688451543	3767.041699095951	1973.148904048249	461.2678180840281	34
4.0	6.0	2862.9521938423145	3668.105835103619	1979.8256311229193	461.2678180840281	56
4.0	8.0	2712.9223203652914	3387.465797813857	1981.4699089334456	461.2678180840281	53

6.0	0.0	3133.157039342574	6861.462208329035	1861.1112223949033	461.2678180840281	40
6.0	2.0	3228.9837925596103	4786.426765106279	1905.2890191127856	461.2678180840281	30
6.0	4.0	2929.2874855435443	3854.794350946442	1947.4733038429067	461.2678180840281	51
6.0	6.0	2623.436146194759	3347.0076222167845	1942.4500731088367	461.2678180840281	97
6.0	8.0	2429.3841191020797	3173.0516158586806	1937.9473290575377	461.2678180840281	73

8.0	0.0	3196.4394197721435	6692.1715131945	    1856.4545549599313	461.2678180840281	38
8.0	2.0	2879.3782290697886	5226.010780562381	1882.9521176865758	461.2678180840281	34
8.0	4.0	2754.2058527600666	3846.8973549340153	1925.675726951323	461.2678180840281	48
8.0	6.0	2138.391429072112	2985.4123281737893	1895.7388504747742	461.2678180840281	105
8.0	8.0	1763.5564588934044	2546.401142312907	1866.2993439636007	461.2678180840281	159



