time,water_level,
117000,-0.91969,2013/8/13 8:30
118800,-0.93677,2013/8/13 9:00
120600,-0.58151,2013/8/13 9:30
122400,-0.2398,2013/8/13 10:00
124200,0.080335,2013/8/13 10:30
126000,0.3858,2013/8/13 11:00
127800,0.6631,2013/8/13 11:30
129600,0.89436,2013/8/13 12:00
131400,1.065,2013/8/13 12:30
133200,1.1648,2013/8/13 13:00
135000,1.1883,2013/8/13 13:30
136800,1.135,2013/8/13 14:00
138600,1.0093,2013/8/13 14:30
140400,0.82005,2013/8/13 15:00
142200,0.58038,2013/8/13 15:30
144000,0.30694,2013/8/13 16:00
145800,0.016439,2013/8/13 16:30
147600,-0.27304,2013/8/13 17:00
149400,-0.54104,2013/8/13 17:30
151200,-0.76784,2013/8/13 18:00
153000,-0.9371,2013/8/13 18:30
154800,-1.0375,2013/8/13 19:00
156600,-1.0629,2013/8/13 19:30
158400,-1.0129,2013/8/13 20:00
160200,-0.8917,2013/8/13 20:30
162000,-0.70853,2013/8/13 21:00
163800,-0.47675,2013/8/13 21:30
165600,-0.21342,2013/8/13 22:00
167400,0.063135,2013/8/13 22:30
169200,0.33694,2013/8/13 23:00
171000,0.59117,2013/8/13 23:30
172800,0.80983,2013/8/14 0:00
174600,0.979,2013/8/14 0:30
176400,1.0876,2013/8/14 1:00
178200,1.1281,2013/8/14 1:30
180000,1.0971,2013/8/14 2:00
181800,0.9958,2013/8/14 2:30
183600,0.82982,2013/8/14 3:00
185400,0.60887,2013/8/14 3:30
187200,0.34648,2013/8/14 4:00
189000,0.058009,2013/8/14 4:30
190800,-0.24135,2013/8/14 5:00
192600,-0.53276,2013/8/14 5:30
194400,-0.79665,2013/8/14 6:00
196200,-1.0153,2013/8/14 6:30
198000,-1.1747,2013/8/14 7:00
199800,-1.2654,2013/8/14 7:30
201600,-1.2827,2013/8/14 8:00
203400,-1.2268,2013/8/14 8:30
205200,-1.1022,2013/8/14 9:00
207000,-0.91794,2013/8/14 9:30
208800,-0.68652,2013/8/14 10:00
210600,-0.42362,2013/8/14 10:30
212400,-0.14616,2013/8/14 11:00
214200,0.13035,2013/8/14 11:30
216000,0.39026,2013/8/14 12:00
217800,0.61911,2013/8/14 12:30
219600,0.80448,2013/8/14 13:00
221400,0.9366,2013/8/14 13:30
223200,1.0088,2013/8/14 14:00
225000,1.0181,2013/8/14 14:30
226800,0.96541,2013/8/14 15:00
228600,0.85549,2013/8/14 15:30
230400,0.69669,2013/8/14 16:00
232200,0.50039,2013/8/14 16:30
234000,0.28048,2013/8/14 17:00
235800,0.051223,2013/8/14 17:30
237600,-0.17351,2013/8/14 18:00
239400,-0.37841,2013/8/14 18:30
241200,-0.54889,2013/8/14 19:00
243000,-0.67292,2013/8/14 19:30
244800,-0.74225,2013/8/14 20:00
246600,-0.75295,2013/8/14 20:30
248400,-0.70535,2013/8/14 21:00
250200,-0.60382,2013/8/14 21:30
252000,-0.45628,2013/8/14 22:00
253800,-0.27371,2013/8/14 22:30
255600,-0.069441,2013/8/14 23:00
257400,0.14189,2013/8/14 23:30
259200,0.3472,2013/8/15 0:00
261000,0.53339,2013/8/15 0:30
262800,0.68831,2013/8/15 1:00
264600,0.8017,2013/8/15 1:30
266400,0.86576,2013/8/15 2:00
268200,0.87559,2013/8/15 2:30
270000,0.82955,2013/8/15 3:00
271800,0.72942,2013/8/15 3:30
273600,0.58034,2013/8/15 4:00
275400,0.39053,2013/8/15 4:30
277200,0.17098,2013/8/15 5:00
279000,-0.066292,2013/8/15 5:30
280800,-0.30918,2013/8/15 6:00
282600,-0.54327,2013/8/15 6:30
284400,-0.75379,2013/8/15 7:00
286200,-0.92728,2013/8/15 7:30
288000,-1.0529,2013/8/15 8:00
289800,-1.1231,2013/8/15 8:30
291600,-1.1343,2013/8/15 9:00
293400,-1.0867,2013/8/15 9:30
295200,-0.98367,2013/8/15 10:00
297000,-0.83213,2013/8/15 10:30
298800,-0.64158,2013/8/15 11:00
300600,-0.42382,2013/8/15 11:30
302400,-0.19218,2013/8/15 12:00
304200,0.041087,2013/8/15 12:30
306000,0.26329,2013/8/15 13:00
307800,0.46274,2013/8/15 13:30
309600,0.62951,2013/8/15 14:00
311400,0.75576,2013/8/15 14:30
313200,0.83604,2013/8/15 15:00
315000,0.86751,2013/8/15 15:30
316800,0.85017,2013/8/15 16:00
318600,0.78688,2013/8/15 16:30
320400,0.6832,2013/8/15 17:00
322200,0.54699,2013/8/15 17:30
324000,0.38797,2013/8/15 18:00
325800,0.21715,2013/8/15 18:30
327600,0.045718,2013/8/15 19:00
329400,-0.11621,2013/8/15 19:30
331200,-0.25827,2013/8/15 20:00
333000,-0.37102,2013/8/15 20:30
334800,-0.447,2013/8/15 21:00
336600,-0.48152,2013/8/15 21:30
338400,-0.47298,2013/8/15 22:00
340200,-0.42297,2013/8/15 22:30
342000,-0.33596,2013/8/15 23:00
343800,-0.21888,2013/8/15 23:30
345600,-0.080605,2013/8/16 0:00
347400,0.068604,2013/8/16 0:30
349200,0.21779,2013/8/16 1:00
351000,0.35696,2013/8/16 1:30
352800,0.47675,2013/8/16 2:00
354600,0.56872,2013/8/16 2:30
356400,0.62611,2013/8/16 3:00
358200,0.64419,2013/8/16 3:30
360000,0.62052,2013/8/16 4:00
361800,0.55508,2013/8/16 4:30
363600,0.45034,2013/8/16 5:00
365400,0.31117,2013/8/16 5:30
367200,0.14457,2013/8/16 6:00
369000,-0.04056,2013/8/16 6:30
370800,-0.23523,2013/8/16 7:00
372600,-0.42966,2013/8/16 7:30
